name,province_id
Huyện Kinh Môn,20
Huyện Gia Lộc,20
Huyện Tứ Kỳ,20
Huyện Thanh Miện,20
Huyện Ninh Giang,20
Huyện Cẩm Giàng,20
Huyện Thanh Hà,20
Huyện Kim Thành,20
Huyện Bình Giang,20
Thành phố Hưng Yên,21
Huyện Kim Động,21
Huyện Ân Thi,21
Huyện KHóai Châu,21
Huyện Yên Mỹ,21
Huyện Tiên Lữ,21
Huyện Phù Cừ,21
Huyện Mỹ Hào,21
Huyện Văn Lâm,21
Huyện Văn Giang,21
Thành phố Hòa Bình,22
Huyện Đà Bắc,22
Huyện Mai Châu,22
Huyện Tân Lạc,22
Huyện Lạc Sơn,22
Huyện Kỳ Sơn,22
Huyện Lương Sơn,22
Huyện Kim Bôi,22
Huyện Lạc Thủy,22
Huyện Yên Thủy,22
Huyện Cao Phong,22
Thành phố Phủ Lý,23
Huyện Duy Tiên,23
Huyện Kim Bảng,23
Huyện Lý Nhân,23
Huyện Thanh Liêm,23
Huyện Bình Lục,23
Thành phố Nam Định,24
Huyện Mỹ Lộc,24
Huyện Xuân Trường,24
Huyện Giao Thủy,24
Huyện ý Yên,24
Huyện Vụ Bản,24
Huyện Nam Trực,24
Huyện Trực Ninh,24
Huyện Nghĩa Hưng,24
Huyện Hải Hậu,24
Thành phố Thái Bình,25
Huyện Quỳnh Phụ,25
Huyện Hưng Hà,25
Huyện Đông Hưng,25
Huyện Vũ Thư,25
Huyện Kiến Xương,25
Huyện Tiền Hải,25
Huyện Thái Thụy,25
Thành phố Ninh Bình,26
Thành phố Tam Điệp,26
Huyện Nho Quan,26
Huyện Gia Viễn,26
Huyện Hoa Lư,26
Huyện Yên Mô,26
Huyện Kim Sơn,26
Huyện Yên Khánh,26
